Id;JAVA_2;JAVA_1;C++_1;Compilation_1;Architecture_1;GenieLogiciel_1;GenieLogiciel_2;Marketing_1;Anglais_1;Anglais_2;Anglais_3;Graphes_1;TheorieDecision_1;TheorieDecision_2;IA_3;IA_2;IA_1;CalculDistribue_1;CalculDistribue_2;LV2Espagnol_3;LV2Espagnol_1;LV2Espagnol_2;ProgrammationLineaire_1;LV2Allemand_2;LV2Allemand_1;Communication_3;Communication_1;Communication_2
1;1;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0
2;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
3;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0
4;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1
5;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0
6;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0
7;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1
8;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0
9;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0
10;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0
11;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1
12;0;0;0;1;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0
13;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0
14;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0
15;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0
16;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1
